
Image: dataset\coins_images\coins_images\all_coins\0992f9217f.jpg | Précision: 50.00%
Image: dataset\coins_images\coins_images\all_coins\1d5fb7f409.jpg | Précision: 100.00%
Image: dataset\coins_images\coins_images\all_coins\244d4d4639.jpg | Précision: 60.00%
Image: dataset\coins_images\coins_images\all_coins\2c8f0e58fb.jpg | Précision: 100.00%
Image: dataset\coins_images\coins_images\all_coins\35f856e199.jpg | Précision: 60.00%
Image: dataset\coins_images\coins_images\all_coins\41ee53b36e.jpg | Précision: 76.19%
Image: dataset\coins_images\coins_images\all_coins\44cf53bcde.jpg | Précision: 93.75%
Image: dataset\coins_images\coins_images\all_coins\49fd927d4c.jpg | Précision: 60.00%
Image: dataset\coins_images\coins_images\all_coins\4a4bd0f725.jpg | Précision: 55.00%
Image: dataset\coins_images\coins_images\all_coins\50e7fe98b7.jpg | Précision: 100.00%
Image: dataset\coins_images\coins_images\all_coins\5d6b82679d.jpg | Précision: 100.00%
Image: dataset\coins_images\coins_images\all_coins\681165d9f1.jpg | Précision: 50.00%
Image: dataset\coins_images\coins_images\all_coins\6d4d37ae2c.jpg | Précision: 60.00%
Image: dataset\coins_images\coins_images\all_coins\766f507935.jpg | Précision: 93.75%
Image: dataset\coins_images\coins_images\all_coins\7ce16206bb.jpg | Précision: 87.50%
Image: dataset\coins_images\coins_images\all_coins\87a1c3b8af.jpg | Précision: 60.00%
Image: dataset\coins_images\coins_images\all_coins\8e89dfa19b.jpg | Précision: 83.33%
Image: dataset\coins_images\coins_images\all_coins\9b1df4ab21.jpg | Précision: 100.00%
Image: dataset\coins_images\coins_images\all_coins\9bdccee820.jpg | Précision: 50.00%
Image: dataset\coins_images\coins_images\all_coins\aaf925663f.jpg | Précision: 60.00%
Image: dataset\coins_images\coins_images\all_coins\ae2a9d0217.jpg | Précision: 100.00%
Image: dataset\coins_images\coins_images\all_coins\b490ad931a.jpg | Précision: 81.25%
Image: dataset\coins_images\coins_images\all_coins\b65bf338f7.jpg | Précision: 60.00%
Image: dataset\coins_images\coins_images\all_coins\bb8b54822f.jpg | Précision: 50.00%
Image: dataset\coins_images\coins_images\all_coins\bd5e683f30.jpg | Précision: 50.00%
Image: dataset\coins_images\coins_images\all_coins\bd7c825ab5.jpg | Précision: 66.67%
Image: dataset\coins_images\coins_images\all_coins\c0ac04a0cf.jpg | Précision: 100.00%
Image: dataset\coins_images\coins_images\all_coins\d603d1e7e2.jpg | Précision: 93.75%
Image: dataset\coins_images\coins_images\all_coins\d74bf34efc.jpg | Précision: 85.71%
Image: dataset\coins_images\coins_images\all_coins\e893dcbca8.jpg | Précision: 75.00%
Image: dataset\coins_images\coins_images\all_coins\f8cc6f7201.jpg | Précision: 100.00%
Image: dataset\coins_images\coins_images\china_coins\06da1e60cc.jpg | Précision: 50.00%
Image: dataset\coins_images\coins_images\china_coins\0d0ac3a88a.jpg | Précision: 81.25%
Image: dataset\coins_images\coins_images\china_coins\12cacddb04.jpg | Précision: 81.25%
Image: dataset\coins_images\coins_images\china_coins\24bc5f6e9f.jpg | Précision: 66.67%
Image: dataset\coins_images\coins_images\china_coins\2f671c984f.jpg | Précision: 50.00%
Image: dataset\coins_images\coins_images\china_coins\4740a8da05.jpg | Précision: 93.75%
Image: dataset\coins_images\coins_images\china_coins\5c7495d3ca.jpg | Précision: 50.00%
Image: dataset\coins_images\coins_images\china_coins\5e4d27082b.jpg | Précision: 85.71%
Image: dataset\coins_images\coins_images\china_coins\6b8399d4e5.jpg | Précision: 100.00%
Image: dataset\coins_images\coins_images\china_coins\7689a78845.jpg | Précision: 75.00%
Image: dataset\coins_images\coins_images\china_coins\7dc2f1ef79.jpg | Précision: 75.00%
Image: dataset\coins_images\coins_images\china_coins\8a150b4bb6.jpg | Précision: 100.00%
